,date,header,links,views,comments
42,2020-06-20 20:20:54,Written communication is remote work super power,https://snir.dev/blog/remote-async-communication/,673,156
0,2020-06-20 10:41:41,Written communication is remote work super power,https://snir.dev/blog/remote-async-communication/,507,110
54,2020-06-20 20:21:18,BTFS – mount any .torrent file or magnet link as directory,https://github.com/johang/btfs,447,109
4,2020-06-20 10:41:49,BTFS – mount any .torrent file or magnet link as directory,https://github.com/johang/btfs,355,87
7,2020-06-20 10:41:55,Unsubscribe: The $0-budget movie that ‘topped the US box office’,https://www.bbc.co.uk/news/world-us-canada-53099283,230,88
57,2020-06-20 20:21:24,Turn on MFA Before Crooks Do It for You,https://krebsonsecurity.com/2020/06/turn-on-mfa-before-crooks-do-it-for-you/,206,173
11,2020-06-20 10:42:03,Researchers and Founders,https://blog.samaltman.com/researchers-and-founders,199,89
16,2020-06-20 10:42:13,'Into The Wild' bus removed from Alaska wilderness,https://www.bbc.com/news/world-us-canada-53106441,195,214
18,2020-06-20 10:42:17,Restoring and MIDI-Fying a Baby Grand Piano,https://jacquesmattheij.com/midi-fied-baby-grand-piano/,189,68
55,2020-06-20 20:21:20,Strike a Solder Joint Behind Enemy Lines,https://hackaday.com/2020/06/19/strike-a-solder-joint-behind-enemy-lines/,187,29
30,2020-06-20 20:20:30,Discovering Dennis Ritchie’s Lost Dissertation,https://computerhistory.org/blog/discovering-dennis-ritchies-lost-dissertation/,176,57
8,2020-06-20 10:41:57,Building a Hexagonal Grid in CSS,https://ninjarockstar.dev/css-hex-grids/,156,26
41,2020-06-20 20:20:52,Mac OS X Leopard and Xcode on iPad Pro,https://twitter.com/jankais3r/status/1274043856821145602,155,43
9,2020-06-20 10:41:59,Linear types are merged in GHC,https://www.tweag.io/blog/2020-06-19-linear-types-merged,152,43
10,2020-06-20 10:42:01,Turn on MFA Before Crooks Do It for You,https://krebsonsecurity.com/2020/06/turn-on-mfa-before-crooks-do-it-for-you/,150,111
35,2020-06-20 20:20:40,Updating the Git protocol for SHA-256,https://lwn.net/SubscriberLink/823352/ea717c1e49390505/,150,102
46,2020-06-20 20:21:02,Let them paste passwords (2017),https://www.ncsc.gov.uk/blog-post/let-them-paste-passwords,142,90
21,2020-06-20 10:42:23,Control theory for fun and profit,https://fauna.com/blog/control-theory-for-fun-and-profit,139,29
